Rank,Release Group,Worldwide,Domestic,Domestic %,Foreign,Foreign %,Year
58,Spider-Man 3,894983373,336530303,0.3760184972732449,558453070,0.6239815027267551,2007
59,Ice Age: Dawn of the Dinosaurs,886686817,196573705,0.22169462907442775,690113112,0.7783053709255723,2009
60,The Lord of the Rings: The Fellowship of the Ring,880839846,313364114,0.35575606101724877,567475732,0.6442439389827512,2001
61,Spectre,880674609,200074609,0.22718335121207064,680600000,0.7728166487879293,2015
62,Spider-Man: Homecoming,880166924,334201140,0.37970199843592395,545965784,0.620298001564076,2017
63,Harry Potter and the Chamber of Secrets,878979634,261988482,0.2980597864455185,616991152,0.7019402135544816,2002
64,Ice Age: Continental Drift,877244782,161321843,0.18389604168657225,715922939,0.8161039583134277,2012
65,The Secret Life of Pets,875457937,368384330,0.42079043941548044,507073607,0.5792095605845196,2016
66,Batman v Superman: Dawn of Justice,873634919,330360194,0.3781444477724682,543274725,0.6218555522275317,2016
67,Finding Nemo,871014978,339714978,0.3900219704373442,531300000,0.6099780295626558,2003
68,Wolf Warrior 2,870325439,2721100,0.003126531614572282,867604339,0.9968734683854277,2017
69,Star Wars: Episode III - Revenge of the Sith,868352530,380270577,0.437921885250913,488081953,0.562078114749087,2005
70,The Hunger Games: Catching Fire,865011746,424668047,0.490939052520103,440343699,0.5090609474798969,2013
71,Guardians of the Galaxy Vol. 2,863756051,389813101,0.4512999944240043,473942950,0.5487000055759956,2017
72,Inside Out,857611174,356461711,0.4156449004009829,501149463,0.5843550995990171,2015
73,Venom,856085151,213515506,0.24940919224050412,642569645,0.7505908077594958,2018
74,Thor: Ragnarok,853977126,315058289,0.36893059475225337,538918837,0.6310694052477467,2017
75,Transformers: Revenge of the Fallen,836303693,402111870,0.4808203925986968,434191823,0.5191796074013032,2009
76,The Twilight Saga: Breaking Dawn - Part 2,829746820,292324737,0.35230594436023266,537422083,0.6476940556397673,2012
77,Inception,826137188,292576195,0.3541496488111125,533560993,0.6458503511888876,2010
78,"Hi, Mom",822009764,0,0.0,822009764,1.0,2021
79,Wonder Woman,821847012,412563408,0.501995385973369,409283604,0.49800461402663104,2017
80,Spider-Man,821708551,403706375,0.4913011730359856,418002176,0.5086988269640144,2002
81,Fantastic Beasts and Where to Find Them,814037575,234037575,0.287502177034027,580000000,0.7124978229659731,2016
82,Shrek the Third,813367380,322719944,0.3967702073323865,490647436,0.6032297926676135,2007
83,Coco,807816196,210460015,0.2605295809147159,597356181,0.7394704190852841,2017
84,Jumanji: The Next Level,800059707,320314960,0.4003638193467978,479744747,0.5996361806532021,2019
85,Harry Potter and the Prisoner of Azkaban,795634069,249541069,0.31363798852107727,546093000,0.6863620114789227,2004
86,Pirates of the Caribbean: Dead Men Tell No Tales,794861794,172558876,0.21709293024593404,622302918,0.782907069754066,2017
87,Mission: Impossible - Fallout,791115104,220159104,0.27828959766643513,570956000,0.7217104023335649,2018
88,Indiana Jones and the Kingdom of the Crystal Skull,790653942,317101119,0.40106183268735285,473552823,0.5989381673126472,2008
89,Fast & Furious 6,788679850,238679850,0.30263211365169274,550000000,0.6973678863483073,2013
90,Spider-Man 2,788618317,373585825,0.4737219729072055,415032492,0.5262780270927945,2004
91,Deadpool,782612155,363070709,0.463921633059737,419541446,0.536078366940263,2016
92,Guardians of the Galaxy,772776600,333176600,0.4311421955581988,439600000,0.5688578044418011,2014
93,2012,769679473,166112167,0.21581992612137652,603567306,0.7841800738786235,2009
94,The Da Vinci Code,760006945,217536138,0.28622914491919543,542470807,0.7137708550808045,2006
95,Fast & Furious Presents: Hobbs & Shaw,759056935,173956935,0.22917508157671992,585100000,0.77082491842328,2019
96,Maleficent,758410378,241410378,0.31831101604466705,517000000,0.681688983955333,2014
97,The Amazing Spider-Man,757930663,262030663,0.34571851462354675,495900000,0.6542814853764533,2012
98,The Hunger Games: Mockingjay - Part 1,755356711,337135885,0.44632672231596815,418220826,0.5536732776840319,2014
99,Shrek Forever After,752600867,238736787,0.31721566831519477,513864080,0.6827843316848052,2010
100,Madagascar 3: Europe's Most Wanted,746921274,216391482,0.2897112313338661,530529792,0.7102887686661339,2012
101,Suicide Squad,746846894,325100054,0.43529678788488074,421746840,0.5647032121151193,2016
102,X-Men: Days of Future Past,746045700,233921534,0.3135485319465014,512124166,0.6864514680534985,2014
103,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",745013115,291710957,0.39155143866158654,453302158,0.6084485613384135,2005
104,Monsters University,743559607,268492764,0.3610911102114238,475066843,0.6389088897885762,2013
105,The Matrix Reloaded,739412035,281576461,0.3808113036731949,457835574,0.6191886963268052,2003
106,Up,735099082,293004164,0.3985913888000203,442094918,0.6014086111999797,2009
107,Deadpool 2,734546611,318491426,0.43358912998919275,416055185,0.5664108700108073,2018
108,Ne Zha,726063471,3695533,0.005089820859476899,722367938,0.9949101791405232,2019
109,Gravity,723192705,274092705,0.37900369169238235,449100000,0.6209963083076177,2013
110,F9: The Fast Saga,716591945,173005945,0.2414288162281813,543586000,0.7585711837718186,2021
111,Captain America: The Winter Soldier,714421503,259766572,0.3636040781376089,454654931,0.6363959218623911,2014
112,The Twilight Saga: Breaking Dawn - Part 1,712205856,281287133,0.394952008089077,430918723,0.6050479919109231,2011
113,Dawn of the Planet of the Apes,710644566,208545589,0.29345976734028806,502098977,0.7065402326597119,2014
114,The Twilight Saga: New Moon,709827462,296623634,0.4178813160655089,413203828,0.5821186839344911,2009
115,Transformers,709709780,319246193,0.44982639664342794,390463587,0.5501736033565721,2007
116,The Amazing Spider-Man 2,708982323,202853933,0.28611987410580336,506128390,0.7138801258941967,2014
117,It,700381748,327481748,0.4675760739555994,372900000,0.5324239260444006,2017
118,The Wandering Earth,699856699,5971413,0.008532336703402763,693885286,0.9914676632965972,2019
119,The Twilight Saga: Eclipse,698491347,300531751,0.4302583736946422,397959596,0.5697416263053579,2010
120,Mission: Impossible - Ghost Protocol,694713380,209397903,0.3014162516921727,485315477,0.6985837483078273,2011
121,The Hunger Games,694394724,408010692,0.5875774655223331,286384032,0.4124225344776669,2012
122,Detective Chinatown 3,686257563,0,0.0,686257563,1.0,2021
123,Mission: Impossible - Rogue Nation,682714267,195042377,0.2856866868434727,487671890,0.7143133131565274,2015
124,Interstellar,677896797,188020017,0.2773578778245798,489876780,0.7226421221754201,2014
125,Doctor Strange,677718395,232641920,0.3432722524817996,445076475,0.6567277475182004,2016
126,Man of Steel,668045518,291045518,0.4356671965577052,377000000,0.5643328034422948,2013
127,Kung Fu Panda 2,665692281,165249063,0.24823641150196843,500443218,0.7517635884980316,2011
