Stocks,Tickers,# Shares,Weights,Returns,Price Today,Initial Purchase Price,Initial Purchase per Stock,Current Value
NIO,NIO,8,0.043989656106867475,0.8856240222804355,59.68000030517578,31.65,253.2,477.5191955566406
Etsy,ETSY,5,0.182421559684877,-0.02357141403924856,205.0500030517578,210.0,1050.0,1024.2500305175781
Pinterest,PINS,7,0.08488683244002942,0.005014348508293853,70.1500015258789,69.8,488.59999999999997,491.05001068115234
Disney,DIS,4,0.1181396767483013,0.0010587804457720118,170.17999267578125,170.0,680.0,680.719970703125
WorkHorse,WKHS,8,0.029882388824570328,0.4990278731944948,32.22909927368164,21.5,172.0,257.8327941894531
Corsair,CRSR,6,0.039507297783181926,0.024934069147839688,38.845001220703125,37.9,227.39999999999998,233.07000732421875
iShares World,IWDA.AS,49,0.5011725884121725,0.050425166593420334,61.84000015258789,58.8714,2884.6986,3030.1600074768066
