Date,NIO,WKHS,CRSR,IWDA.AS,SXR8.DE
2019-08-12,3.049999952316284,3.190000057220459,,50.209999084472656,254.52999877929688
2019-08-13,3.1500000953674316,3.309999942779541,,50.73500061035156,257.739990234375
2019-08-14,2.9000000953674316,3.369999885559082,,50.02000045776367,254.08999633789062
2019-08-15,2.819999933242798,3.4100000858306885,,49.915000915527344,253.4499969482422
2019-08-16,2.950000047683716,3.630000114440918,,50.6349983215332,257.1600036621094
2019-08-19,3.0,3.6500000953674316,,51.23500061035156,260.69000244140625
2019-08-20,3.1600000858306885,3.640000104904175,,51.09000015258789,260.04998779296875
2019-08-21,3.049999952316284,4.159999847412109,,51.31999969482422,260.7200012207031
2019-08-22,3.0199999809265137,4.130000114440918,,51.1150016784668,260.1400146484375
2019-08-23,2.9200000762939453,4.090000152587891,,50.3849983215332,255.19000244140625
2019-08-26,2.9000000953674316,4.260000228881836,,50.415000915527344,255.47999572753906
2019-08-27,2.9100000858306885,4.489999771118164,,50.685001373291016,256.6499938964844
2019-08-28,2.8399999141693115,4.239999771118164,,50.7400016784668,257.3699951171875
2019-08-29,2.8499999046325684,4.260000228881836,,51.435001373291016,261.3900146484375
2019-08-30,2.859999895095825,4.210000038146973,,51.7599983215332,262.9200134277344
2019-09-02,,,,51.81999969482422,262.8599853515625
2019-09-03,2.5999999046325684,4.03000020980835,,51.68000030517578,262.0799865722656
2019-09-04,2.75,3.630000114440918,,51.959999084472656,262.95001220703125
2019-09-05,2.950000047683716,3.700000047683716,,52.56999969482422,266.9100036621094
2019-09-06,2.9800000190734863,3.390000104904175,,52.599998474121094,267.1300048828125
2019-09-09,3.140000104904175,3.0999999046325684,,52.6349983215332,266.989990234375
2019-09-10,3.319999933242798,3.1600000858306885,,52.404998779296875,265.1300048828125
2019-09-11,3.2699999809265137,3.059999942779541,,53.125,269.1099853515625
2019-09-12,3.190000057220459,2.9700000286102295,,53.224998474121094,269.7699890136719
2019-09-13,3.2100000381469727,3.119999885559082,,53.25,269.239990234375
2019-09-16,3.119999885559082,3.359999895095825,,53.244998931884766,269.7099914550781
2019-09-17,3.180000066757202,3.3299999237060547,,53.09000015258789,268.5
2019-09-18,3.0799999237060547,3.140000104904175,,53.005001068115234,268.05999755859375
2019-09-19,3.0999999046325684,3.059999942779541,,53.470001220703125,270.6700134277344
2019-09-20,3.0399999618530273,3.25,,53.560001373291016,270.760009765625
2019-09-23,2.7200000286102295,3.390000104904175,,53.23500061035156,269.55999755859375
2019-09-24,2.1700000762939453,3.2200000286102295,,53.19499969482422,268.8800048828125
2019-09-25,2.049999952316284,3.3499999046325684,,53.099998474121094,268.6600036621094
2019-09-26,1.9600000381469727,3.369999885559082,,53.189998626708984,268.79998779296875
2019-09-27,1.75,3.5399999618530273,,53.369998931884766,269.8299865722656
2019-09-30,1.559999942779541,3.5,,53.459999084472656,270.5299987792969
2019-10-01,1.3200000524520874,3.4800000190734863,,52.98500061035156,268.2300109863281
2019-10-02,1.590000033378601,3.450000047683716,,51.58000183105469,260.5299987792969
2019-10-03,1.6399999856948853,3.450000047683716,,51.540000915527344,
2019-10-04,1.6200000047683716,3.4700000286102295,,52.279998779296875,264.9700012207031
2019-10-07,1.5499999523162842,3.4800000190734863,,52.52000045776367,266.07000732421875
2019-10-08,1.7000000476837158,3.549999952316284,,51.81999969482422,262.19000244140625
2019-10-09,1.6399999856948853,3.6500000953674316,,51.970001220703125,262.8800048828125
2019-10-10,1.5299999713897705,3.690000057220459,,52.375,264.9100036621094
2019-10-11,1.559999942779541,3.700000047683716,,53.11000061035156,268.4599914550781
2019-10-14,1.5299999713897705,3.6500000953674316,,52.834999084472656,267.010009765625
2019-10-15,1.5499999523162842,3.4800000190734863,,53.290000915527344,268.8900146484375
2019-10-16,1.4600000381469727,3.609999895095825,,53.084999084472656,267.8900146484375
2019-10-17,1.4600000381469727,3.630000114440918,,52.8849983215332,266.8900146484375
2019-10-18,1.5199999809265137,3.4700000286102295,,52.70500183105469,265.9200134277344
2019-10-21,1.690000057220459,3.4700000286102295,,52.98500061035156,266.9700012207031
2019-10-22,1.5800000429153442,3.2899999618530273,,53.10499954223633,267.760009765625
2019-10-23,1.5299999713897705,3.3299999237060547,,53.095001220703125,267.5199890136719
2019-10-24,1.5399999618530273,3.380000114440918,,53.41999816894531,268.9700012207031
2019-10-25,1.5099999904632568,3.200000047683716,,53.6349983215332,270.3699951171875
2019-10-28,1.4800000190734863,3.0399999618530273,,53.79999923706055,271.32000732421875
2019-10-29,1.3899999856948853,2.930000066757202,,53.810001373291016,271.6400146484375
2019-10-30,1.4299999475479126,2.819999933242798,,53.665000915527344,270.57000732421875
2019-10-31,1.4500000476837158,2.5299999713897705,,53.38999938964844,269.1700134277344
2019-11-01,1.5199999809265137,2.740000009536743,,53.8650016784668,271.6000061035156
2019-11-04,1.7100000381469727,2.7699999809265137,,54.36000061035156,274.1400146484375
2019-11-05,2.3399999141693115,2.509999990463257,,54.63999938964844,275.6499938964844
2019-11-06,2.0299999713897705,2.4600000381469727,,54.625,275.3500061035156
2019-11-07,2.069999933242798,3.130000114440918,,55.08000183105469,277.8599853515625
2019-11-08,1.9800000190734863,3.0899999141693115,,54.97999954223633,277.489990234375
2019-11-11,1.8600000143051147,2.880000114440918,,54.880001068115234,276.8399963378906
2019-11-12,1.940000057220459,2.7300000190734863,,55.25,279.19000244140625
2019-11-13,1.899999976158142,2.5999999046325684,,55.125,278.6300048828125
2019-11-14,1.75,2.9800000190734863,,55.005001068115234,278.45001220703125
