Stocks,Tickers,# Shares,Weights,Returns,Price Today,Initial Purchase Price,Initial Purchase per Stock,Current Value
NIO,NIO,8,0.043989656106867475,0.8909952124524834,59.849998474121094,31.65,253.2,478.90399169921875
Etsy,ETSY,5,0.182421559684877,-0.023523821149553537,205.05999755859375,210.0,1050.0,1025.2999877929688
Pinterest,PINS,7,0.08488683244002942,-0.0014327084779055532,69.69999694824219,69.8,488.59999999999997,487.8999786376953
Disney,DIS,4,0.1181396767483013,-0.001382356531479778,169.76499938964844,170.0,680.0,679.0599975585938
WorkHorse,WKHS,8,0.029882388824570328,0.48436745931935854,31.91390037536621,21.5,172.0,255.3112030029297
Corsair,CRSR,6,0.039507297783181926,0.020712437290000496,38.685001373291016,37.9,227.39999999999998,231.95999908447266
iShares World,IWDA.AS,49,0.5011725884121725,0.050425166593420334,61.84000015258789,58.8714,2884.6986,3030.1600074768066
